,Income,Complain,Response,Age,FamilySize,MntWines_transformed,MntFruits_transformed,MntMeatProducts_transformed,MntFishProducts_transformed,MntSweetProducts_transformed,MntGoldProds_transformed,NumDealsPurchases_transformed,NumWebPurchases_transformed,NumCatalogPurchases_transformed,NumStorePurchases_transformed,NumWebVisitsMonth_transformed,Customer_Since_Days,Education_Ordinal,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,campaign
0,58138.0,0,1,68.0,1,25.199206336708304,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,5.853780366854106,1.0079085503151255,2.8284271247461903,2.3978952727983707,1.6094379124341003,7,4809,3,0,1,0,0,1
1,46344.0,0,0,71.0,3,3.3166247903554,0.6931471805599453,1.9459101490553132,1.0986122886681096,0.6931471805599453,2.1775470687748153,0.8507320179995681,1.0,0.6931471805599453,1.0986122886681096,5,4259,3,0,1,0,0,0
2,71613.0,0,0,60.0,2,20.639767440550294,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,4.691640835735929,0.5882451831640778,2.8284271247461903,1.0986122886681096,2.3978952727983707,4,4458,3,0,0,1,0,0
3,26646.0,0,0,41.0,3,3.3166247903554,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.9869675793853157,0.8507320179995681,1.4142135623730951,0.0,1.6094379124341003,6,4285,3,0,0,1,0,0
4,58293.0,0,0,44.0,3,13.152946437965905,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,3.2584741907940002,1.1951707873764992,2.23606797749979,1.3862943611198906,1.9459101490553132,5,4307,5,1,0,0,0,0
5,62513.0,0,0,58.0,3,22.80350850198276,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,3.170388484650251,0.8507320179995681,2.449489742783178,1.6094379124341003,2.3978952727983707,6,4439,4,0,0,1,0,0
6,55635.0,0,0,54.0,2,15.329709716755891,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,4.049940499393314,1.1155245851841542,2.6457513110645907,1.3862943611198906,2.0794415416798357,6,4739,3,0,0,0,0,0
7,33454.0,0,0,40.0,3,8.717797887081348,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.826884322778837,0.8507320179995681,2.0,0.0,1.6094379124341003,8,4563,5,1,0,0,0,0
8,30351.0,0,1,51.0,3,3.7416573867739413,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.1700492300726517,0.5882451831640778,1.7320508075688772,0.0,1.0986122886681096,9,4534,5,0,0,1,0,1
9,5648.0,0,0,75.0,4,5.291502622129181,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,3.076934130472533,0.5882451831640778,1.0,0.0,0.0,20,4254,5,0,0,1,0,1
