,Income,Complain,Response,Age,FamilySize,MntWines_transformed,MntFruits_transformed,MntMeatProducts_transformed,MntFishProducts_transformed,MntSweetProducts_transformed,MntGoldProds_transformed,NumDealsPurchases_transformed,NumWebPurchases_transformed,NumCatalogPurchases_transformed,NumStorePurchases_transformed,NumWebVisitsMonth_transformed,Total_Purchases_transformed,Total_Num_Purchases,Purchases_Ratio_transformed,Customer_Since_Days,Education_Ordinal,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,campaign,clusters
0,58138.0,0,1,68.0,1,25.199206336708304,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,5.853780366854106,1.0079085503151255,2.8284271247461903,2.3978952727983707,1.6094379124341003,7,15.16952980554466,25,4.579433963568625,4811,3,0,1,0,0,1,4
1,46344.0,0,0,71.0,3,3.3166247903554,0.6931471805599453,1.9459101490553132,1.0986122886681096,0.6931471805599453,2.1775470687748153,0.8507320179995681,1.0,0.6931471805599453,1.0986122886681096,5,4.531195127094123,6,1.6408571023320688,4261,3,0,1,0,0,0,0
2,71613.0,0,0,60.0,2,20.639767440550294,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,4.691640835735929,0.5882451831640778,2.8284271247461903,1.0986122886681096,2.3978952727983707,4,12.645095720468493,21,3.9131599343189576,4460,3,0,0,1,0,0,2
3,26646.0,0,0,41.0,3,3.3166247903554,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.9869675793853157,0.8507320179995681,1.4142135623730951,0.0,1.6094379124341003,6,5.782351564267297,8,2.020486648672173,4287,3,0,0,1,0,0,0
4,58293.0,0,0,44.0,3,13.152946437965905,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,3.2584741907940002,1.1951707873764992,2.23606797749979,1.3862943611198906,1.9459101490553132,5,10.785691033399253,19,3.333012961146284,4309,5,1,0,0,0,0,1
5,62513.0,0,0,58.0,3,22.80350850198276,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,3.170388484650251,0.8507320179995681,2.449489742783178,1.6094379124341003,2.3978952727983707,6,12.387795907015377,22,3.7699230699842836,4441,4,0,0,1,0,0,1
6,55635.0,0,0,54.0,2,15.329709716755891,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,4.049940499393314,1.1155245851841542,2.6457513110645907,1.3862943611198906,2.0794415416798357,6,11.783732812787118,21,3.6007558664705,4741,3,0,0,0,0,0,2
7,33454.0,0,0,40.0,3,8.717797887081348,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.826884322778837,0.8507320179995681,2.0,0.0,1.6094379124341003,8,8.345492117830386,10,2.987700736326473,4565,5,1,0,0,0,0,0
8,30351.0,0,1,51.0,3,3.7416573867739413,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.1700492300726517,0.5882451831640778,1.7320508075688772,0.0,1.0986122886681096,9,5.505689976980467,6,2.124193869550384,4536,5,0,0,1,0,1,0
9,5648.0,0,0,75.0,4,5.291502622129181,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,3.076934130472533,0.5882451831640778,1.0,0.0,0.0,20,5.628155844527738,2,3.0534736836174994,4256,5,0,0,1,0,1,0
10,50866.40697674418,0,0,42.0,3,2.23606797749979,1.791759469228055,1.9459101490553132,0.0,1.0986122886681096,0.7211439965304158,0.5882451831640778,1.0,0.0,1.0986122886681096,7,3.94407972971607,4,1.628110167122495,4374,3,1,0,0,0,0,0
11,7500.0,0,0,49.0,2,2.449489742783178,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,3.3418078303211853,0.5882451831640778,1.4142135623730951,0.0,1.3862943611198906,8,6.064434884499685,6,2.4000002731189185,4741,1,1,0,0,0,0,0
12,63033.0,0,0,66.0,1,13.92838827718412,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,4.19937394532536,0.5882451831640778,1.7320508075688772,1.6094379124341003,2.1972245773362196,2,13.81027535183483,16,4.62908922874239,4374,3,0,0,0,0,0,2
13,59354.0,0,0,73.0,3,15.264337522473747,1.0986122886681096,3.9889840465642745,1.3862943611198906,1.791759469228055,3.170388484650251,1.0079085503151255,2.449489742783178,0.6931471805599453,1.791759469228055,6,9.918231352024995,15,3.2391462851199018,4374,4,0,0,0,0,0,1
14,17323.0,0,0,38.0,2,1.7320508075688772,2.70805020110221,2.8903717578961645,1.9459101490553132,0.6931471805599453,1.9869675793853157,0.5882451831640778,1.0,0.0,1.3862943611198906,8,5.505689976980467,5,2.2733089063694254,4775,3,1,0,0,0,0,0
15,82800.0,0,1,79.0,1,31.71750305430741,3.1354942159291497,4.7535901911063645,4.0943445622221,4.23410650459726,4.7953935443868545,0.5882451831640778,2.6457513110645907,1.9459101490553132,2.5649493574615367,3,14.425264904062562,26,4.289109678862624,4730,5,0,1,0,0,3,4
16,41850.0,0,0,45.0,4,7.280109889280518,1.791759469228055,2.995732273553991,1.0986122886681096,2.639057329615259,1.7658223073046104,1.0079085503151255,1.7320508075688772,0.0,1.3862943611198906,8,7.026861338028639,9,2.4973356592469793,4700,3,1,0,0,0,0,0
17,37760.0,0,0,79.0,2,9.16515138991168,1.791759469228055,3.6635616461296463,5.017279836814924,2.5649493574615367,4.101265344815486,0.8507320179995681,2.0,0.6931471805599453,1.9459101490553132,7,9.979443321106427,13,3.411231130783381,4815,3,0,0,1,0,0,1
18,76995.0,0,0,76.0,3,31.811947441173732,4.394449154672439,6.212606095751519,0.0,2.833213344056216,7.043943910409955,0.8507320179995681,3.3166247903554,1.6094379124341003,2.302585092994046,5,15.528815737952252,26,4.65068194951644,4606,4,1,0,0,0,1,2
